Country,GDP_PPS_Year,GDP_PPS,Life_Expectancy_Year,Life_Expectancy,Education_Expenditure_Year,Education_Expenditure,Unemployment_Rate_Year,Unemployment_Rate,High_Life_Satisfaction_Year,High_Life_Satisfaction
Austria,2023,121,2023,81.85,2022,20585.2,2023,5.1,2023,33.0
Belgium,2023,118,2023,82.45,2023,33119.1,2023,5.5,2023,23.0
Bulgaria,2023,63,2023,75.85,2023,3556.5,2023,4.3,2023,8.8
Croatia,2023,78,2023,78.65,2022,1566.1,2023,6.1,2023,21.2
Cyprus,2023,97,2023,83.3,2023,1707.9,2023,5.8,2023,23.7
Czechia,2023,91,2023,79.9,2022,14837.7,2023,2.6,2023,25.7
Denmark,2023,126,2023,81.80000000000001,2022,16824.1,2023,5.1,2023,32.2
Estonia,2023,80,2023,78.9,2013,1287.7,2023,6.4,2023,20.2
Finland,2023,103,2023,81.65,2022,12742.4,2023,7.2,2023,31.6
France,2023,99,2023,82.9,2023,136078.1,2023,7.3,2023,17.9
Germany,2023,118,2023,81.1,2022,170029.6,2023,3.1,2023,22.3
Greece,2023,68,2023,81.80000000000001,2022,8605.8,2023,11.1,2023,17.8
Hungary,2023,76,2023,76.65,2022,8971.4,2023,4.1,2023,21.4
Ireland,2023,218,2023,82.85,2014,8534.0,2023,4.3,2023,26.4
Italy,2023,98,2023,83.4,2023,90512.0,2023,7.7,2023,16.0
Latvia,2023,70,2023,75.55,2022,1945.4,2023,6.5,2023,15.0
Lithuania,2023,86,2023,77.4,2022,3646.0,2023,6.9,2023,22.8
Luxembourg,2023,248,2022,83.0,2022,2198.0,2023,5.2,2023,24.7
Malta,2023,109,2023,83.4,2022,817.5,2023,3.5,2023,23.5
Netherlands,2023,131,2023,81.9,2022,44337.5,2023,3.6,2023,22.5
Poland,2023,77,2023,78.35,2023,50475.6,2023,2.8,2023,27.9
Portugal,2023,81,2023,82.4,2022,13205.6,2023,6.5,2023,19.8
Romania,2023,75,2023,76.5,2022,14553.8,2023,5.6,2023,29.1
Slovakia,2023,74,2023,78.2,2022,6516.2,2023,5.8,2023,24.7
Slovenia,2023,91,2023,82.0,2023,3585.0,2023,3.7,2023,31.6
Spain,2023,91,2023,84.0,2022,66761.7,2023,12.2,2023,22.2
Sweden,2023,111,2023,83.35,2022,29682.0,2023,7.7,2023,26.9
