Rank,Country,EU_Quality_of_Life_Index,Economic_Subindex,Health_Subindex,Education_Subindex,Employment_Subindex,Wellbeing_Subindex
1,Ireland,0.7410509263181312,0.8378378378378377,0.8639053254437865,0.43934461688256565,0.8229166666666667,0.7272727272727271
2,Luxembourg,0.711776170799734,1.0,0.8816568047337281,0.18520172135974677,0.7291666666666666,0.6570247933884297
3,Austria,0.6595947674817335,0.3135135135135135,0.7455621301775146,0.6043376161282161,0.7395833333333334,1.0
4,Denmark,0.650699221470405,0.34054054054054056,0.7396449704142025,0.5665304032315988,0.7395833333333334,0.9669421487603307
5,Germany,0.6448874223568279,0.2972972972972973,0.6568047337278102,1.0,0.9479166666666667,0.5578512396694215
6,Netherlands,0.632191146217771,0.36756756756756764,0.7514792899408285,0.7481147900573539,0.8958333333333334,0.5661157024793388
7,Sweden,0.6266791262938258,0.25945945945945953,0.9230769230769216,0.6729162690011319,0.46875,0.7479338842975205
8,Belgium,0.6043030945252523,0.2972972972972973,0.8165680473372774,0.6934485989955772,0.6979166666666666,0.5867768595041323
9,France,0.5840043015166542,0.19459459459459466,0.8698224852071004,0.9582587666465794,0.5104166666666667,0.3760330578512396
10,Finland,0.5779326208198926,0.21621621621621628,0.7218934911242609,0.5144605429266211,0.5208333333333334,0.9421487603305785
11,Spain,0.5635445975770328,0.15135135135135136,1.0,0.8248147904315122,1.1102230246251565e-16,0.5537190082644627
12,Italy,0.5622947336357053,0.1891891891891892,0.9289940828402372,0.8818489169847181,0.46875,0.29752066115702475
13,Slovenia,0.5610067441568445,0.15135135135135136,0.7633136094674562,0.27684542609680074,0.8854166666666667,0.9421487603305785
14,Czechia,0.5148029044852616,0.15135135135135136,0.5147928994082847,0.5429871015387466,1.0,0.6983471074380163
15,Poland,0.5120094713693317,0.07567567567567568,0.33136094674556205,0.7724120471396705,0.9791666666666667,0.7892561983471074
16,Malta,0.5065232861780066,0.2486486486486486,0.9289940828402372,0.0,0.90625,0.6074380165289255
17,Cyprus,0.492632849245066,0.18378378378378374,0.9171597633136095,0.13794899968141228,0.6666666666666667,0.6157024793388428
18,Portugal,0.4815013818632589,0.0972972972972973,0.8106508875739653,0.5211512236817615,0.59375,0.45454545454545453
19,Romania,0.388714720411786,0.06486486486486487,0.11242603550295804,0.53936700139254,0.6875,0.8388429752066116
20,Slovakia,0.3690984340128842,0.05945945945945946,0.31360946745562224,0.38879788469880583,0.6666666666666667,0.6570247933884297
21,Greece,0.3656893952577977,0.02702702702702703,0.7396449704142025,0.4409144863745036,0.11458333333333337,0.37190082644628103
22,Hungary,0.3283612421508576,0.07027027027027027,0.13017751479289963,0.4487103224005322,0.84375,0.5206611570247932
23,Lithuania,0.31272689245959495,0.12432432432432433,0.218934911242604,0.2800063544784328,0.5520833333333333,0.578512396694215
24,Croatia,0.30235046712835206,0.08108108108108109,0.36686390532544344,0.12171607508539539,0.6354166666666667,0.5123966942148759
25,Estonia,0.2937294491462655,0.0918918918918919,0.39644970414201275,0.08506253719032397,0.6041666666666666,0.4710743801652892
26,Latvia,0.15254118803723893,0.03783783783783784,0.0,0.16233529578145922,0.59375,0.256198347107438
27,Bulgaria,0.14623743099991515,0.0,0.035502958579881394,0.27535012344139065,0.8229166666666667,0.0
