Rank,Country,EU_Quality_of_Life_Index,Cluster,GDP_PPS,Life_Expectancy,Education_Expenditure,Education_Expenditure_Log,Unemployment_Rate,High_Life_Satisfaction,Economic_Subindex,Health_Subindex,Education_Subindex,Employment_Subindex,Wellbeing_Subindex,PC1,PC2
1,Ireland,0.7410509263181312,0,218,82.85,8534.0,9.05193063522854,4.3,26.4,0.8378378378378377,0.8639053254437865,0.43934461688256565,0.8229166666666667,0.7272727272727271,2.336201696314535,1.0892690092528325
2,Luxembourg,0.711776170799734,0,248,83.0,2198.0,7.695757990554761,5.2,24.7,1.0,0.8816568047337281,0.18520172135974677,0.7291666666666666,0.6570247933884297,2.360895056000817,1.2405544025160222
3,Austria,0.6595947674817335,0,121,81.85,20585.2,9.932376227379834,5.1,33.0,0.3135135135135135,0.7455621301775146,0.6043376161282161,0.7395833333333334,1.0,1.458348874040887,0.5676868573488725
4,Denmark,0.650699221470405,0,126,81.80000000000001,16824.1,9.73062709803167,5.1,32.2,0.34054054054054056,0.7396449704142025,0.5665304032315988,0.7395833333333334,0.9669421487603307,1.409623935781507,0.6126390290048657
5,Germany,0.6448874223568279,0,118,81.1,170029.6,12.043733699834343,3.1,22.3,0.2972972972972973,0.6568047337278102,1.0,0.9479166666666667,0.5578512396694215,0.7984128318239563,0.009104713387191434
6,Netherlands,0.632191146217771,0,131,81.9,44337.5,10.699608653098748,3.6,22.5,0.36756756756756764,0.7514792899408285,0.7481147900573539,0.8958333333333334,0.5661157024793388,0.9095785548152443,0.2319947915166975
7,Sweden,0.6266791262938258,1,111,83.35,29682.0,10.298329770340379,7.7,26.9,0.25945945945945953,0.9230769230769216,0.6729162690011319,0.46875,0.7479338842975205,1.1666413287794295,-1.0177357350033156
8,Belgium,0.6043030945252523,0,118,82.45,33119.1,10.40789562781831,5.5,23.0,0.2972972972972973,0.8165680473372774,0.6934485989955772,0.6979166666666666,0.5867768595041323,0.7978007147430203,-0.4147886806547565
9,France,0.5840043015166542,1,99,82.9,136078.1,11.820991613291259,7.3,17.9,0.19459459459459466,0.8698224852071004,0.9582587666465794,0.5104166666666667,0.3760330578512396,0.44236629356510143,-1.9076923386991338
10,Finland,0.5779326208198926,0,103,81.65,12742.4,9.452768769502256,7.2,31.6,0.21621621621621628,0.7218934911242609,0.5144605429266211,0.5208333333333334,0.9421487603305785,0.9000392295494826,-0.13799820472270632
11,Spain,0.5635445975770328,1,91,84.0,66761.7,11.108899820337228,12.2,22.2,0.15135135135135136,1.0,0.8248147904315122,1.1102230246251565e-16,0.5537190082644627,0.6973453038435108,-3.22462365020196
12,Italy,0.5622947336357053,1,98,83.4,90512.0,11.4132487657807,7.7,16.0,0.1891891891891892,0.9289940828402372,0.8818489169847181,0.46875,0.29752066115702475,0.2963049114700983,-2.1016537654133502
13,Slovenia,0.5610067441568445,0,91,82.0,3585.0,8.184792654165078,3.7,31.6,0.15135135135135136,0.7633136094674562,0.27684542609680074,0.8854166666666667,0.9421487603305785,0.6480596374841935,1.2894912814789563
14,Czechia,0.5148029044852616,0,91,79.9,14837.7,9.604993911806005,2.6,25.7,0.15135135135135136,0.5147928994082847,0.5429871015387466,1.0,0.6983471074380163,-0.03708992366379688,1.1241972682224706
15,Poland,0.5120094713693317,0,77,78.35,50475.6,10.829265141539462,2.8,27.9,0.07567567567567568,0.33136094674556205,0.7724120471396705,0.9791666666666667,0.7892561983471074,-0.17500264812977273,0.9433408356182211
